,Movies,Rating,Year,Duration,Actor,Genre,
0,Beast,5.7,(II) (2022),155 min,Thalapathy Vijay,"<span class=""genre"">
Action, Comedy, Crime            </span>",
1,Saani Kaayidham,7.6,-2022,136 min,Akhilesh,"<span class=""genre"">
Action, Crime, Drama            </span>",
2,Kaathu Vaakula Rendu Kaadhal,6,-2022,157 min,Vijay Sethupathi,"<span class=""genre"">
Comedy, Drama, Romance            </span>",
3,Master,7.3,-2021,178 min,Thalapathy Vijay,"<span class=""genre"">
Action, Thriller            </span>",
4,Jai Bhim,8.9,-2021,164 min,Suriya,"<span class=""genre"">
Crime, Drama, Mystery            </span>",
5,Rocky,8.1,-2021,129 min,Bharathiraja,"<span class=""genre"">
Drama            </span>",
6,Etharkkum Thunindhavan,6.7,-2022,151 min,Suriya,"<span class=""genre"">
Action, Crime, Drama            </span>",
7,Valimai,6.2,-2022,178 min,Ajith Kumar,"<span class=""genre"">
Action, Crime, Thriller            </span>",
8,Mahaan,7.7,-2022,163 min,Vikram,"<span class=""genre"">
Action, Drama, Thriller            </span>",
9,Maanaadu,8.4,-2021,147 min,Silambarasan Rajendar,"<span class=""genre"">
Action, Adventure, Sci-Fi            </span>",
10,Taanakkaran,8.2,-2022,141 min,Vikram Prabhu,"<span class=""genre"">
Drama, Sport            </span>",
11,Hey Sinamika,6.1,-2022,150 min,Dulquer Salmaan,"<span class=""genre"">
Drama, Romance            </span>",
12,Vikram Vedha,8.2,-2017,147 min,Madhavan,"<span class=""genre"">
Action, Crime, Drama            </span>",
13,Soorarai Pottru,8.7,-2020,153 min,Suriya,"<span class=""genre"">
Drama            </span>",
14,Kaithi,8.5,-2019,145 min,Karthi,"<span class=""genre"">
Action, Crime, Thriller            </span>",
15,FIR,7.1,-2022,156 min,Vishnu Vishal,"<span class=""genre"">
Action, Thriller            </span>",
16,Oh My Dog,7.3,-2022,121 min,Aasha,"<span class=""genre"">
Drama, Family            </span>",
17,Eega,7.7,-2012,145 min,Sudeep,"<span class=""genre"">
Action, Comedy, Drama            </span>",
18,Doctor,7.5,-2021,148 min,Sivakarthikeyan,"<span class=""genre"">
Action, Comedy, Crime            </span>",
19,Payanigal Gavanikkavum,8,-2022,115 min,Lakshmi Priyaa Chandramouli,"<span class=""genre"">
Drama            </span>",
20,Kadaisi Vivasayi,8.9,-2021,122 min,Nallandi,"<span class=""genre"">
Comedy, Drama            </span>",
21,Mersal,7.5,-2017,172 min,Thalapathy Vijay,"<span class=""genre"">
Action, Thriller            </span>",
22,Ratsasan,8.3,-2018,170 min,Vishnu Vishal,"<span class=""genre"">
Crime, Drama, Mystery            </span>",
23,Cobra,6.7,-2022,120 min,Vikram,"<span class=""genre"">
Action, Crime, Thriller            </span>",
24,Bigil,7.2,-2019,179 min,Thalapathy Vijay,"<span class=""genre"">
Action, Drama, Sport            </span>",
25,Dheepan,7,-2015,115 min,Jesuthasan Antonythasan,"<span class=""genre"">
Crime, Drama            </span>",
26,Ponniyin Selvan: Part One,NaN,-2022,165 min,Vikram,"<span class=""genre"">
Drama, Family, Fantasy            </span>",
27,Game Over,8.3,(I) (2019),102 min,Taapsee Pannu,"<span class=""genre"">
Drama, Mystery, Thriller            </span>",
28,Super Deluxe,8.3,-2019,176 min,Vijay Sethupathi,"<span class=""genre"">
Comedy, Crime, Drama            </span>",
29,Jigarthanda,5.7,-2014,171 min,Siddharth,"<span class=""genre"">
Action, Comedy, Crime            </span>",
30,Kuthiraivaal,8.4,-2021,125 min,Kalaiyarasan,"<span class=""genre"">
Drama            </span>",
31,96,3.1,(II) (2018),158 min,Vijay Sethupathi,"<span class=""genre"">
Drama, Romance            </span>",
32,Idiot,8.5,-2022,126 min,Shiva,"<span class=""genre"">
Comedy, Drama, Horror            </span>",
33,Asuran,5.8,-2019,141 min,Dhanush,"<span class=""genre"">
Action, Drama            </span>",
34,Jagame Thandhiram,4.4,-2021,158 min,Dhanush,"<span class=""genre"">
Action, Crime, Drama            </span>",
35,Maaran,8.6,-2022,130 min,Dhanush,"<span class=""genre"">
Action, Thriller            </span>",
36,Sarpatta Parambarai,6.8,-2021,173 min,Arya,"<span class=""genre"">
Action, Drama, Sport            </span>",
37,Sarkar,6.5,-2018,163 min,Thalapathy Vijay,"<span class=""genre"">
Action, Drama            </span>",
38,Selfie,8.7,(II) (2022),128 min,Varsha Bollamma,"<span class=""genre"">
Crime, Thriller            </span>",
39,Anbe Sivam,4.9,-2003,160 min,Kamal Haasan,"<span class=""genre"">
Adventure, Comedy, Drama            </span>",
40,Madhagaja,4.6,-2021,132 min,Sriimurali,"<span class=""genre"">
Action            </span>",
41,Ra.One,6.5,-2011,156 min,Shah Rukh Khan,"<span class=""genre"">
Action, Adventure, Sci-Fi            </span>",
42,Kuttram Kuttrame,NaN,-2022,107 min,Alex,"<span class=""genre"">
Action, Drama            </span>",
